"word","poc","text_id"
"hath","noun, singular or mass","CLAVERI_169.txt"
"hath","verb, 3rd sing","CLAVERI_171.txt"
"hath","noun, singular or mass","CLAVERI_172.txt"
"hath","noun, singular or mass","CLAVERI_187.txt"
"hath","verb, 3rd sing","CLIFT_021.txt"
"hath","noun, singular or mass","CLIFT_021.txt"
"hath","noun, singular or mass","CLIFT_021.txt"
"hath","verb, 3rd sing","CLIFT_021.txt"
"hath","noun, singular or mass","CLIFT_021.txt"
"hath","verb, 3rd sing","CLIFT_021.txt"
"hath","noun, singular or mass","CLIFT_024.txt"
"hath","verb, 3rd sing","CLIFT_024.txt"
"hath","verb, 3rd sing","CLIFT_024.txt"
"hath","noun, singular or mass","CLIFT_024.txt"
"hath","noun, singular or mass","CLIFT_024.txt"
"hath","verb, 3rd sing","CLIFT_024.txt"
"hath","verb, 3rd sing","CLIFT_026.txt"
"hath","verb, 3rd sing","CLIFT_031.txt"
"hath","verb, 3rd sing","CLIFT_031.txt"
"hath","verb, non-3rd sing","CLIFT_033.txt"
"hath","verb, 3rd sing","CLIFT_033.txt"
"hath","verb, 3rd sing","CLIFT_033.txt"
"hath","verb, 3rd sing","CLIFT_033.txt"
"hath","noun, singular or mass","CLIFT_033.txt"
"hath","verb, 3rd sing","CLIFT_033.txt"
"hath","verb, 3rd sing","CLIFT_035.txt"
"hath","verb, 3rd sing","CLIFT_036.txt"
"hath","verb, 3rd sing","CLIFT_036.txt"
"hath","noun, singular or mass","CLIFT_048.txt"
"hath","verb, 3rd sing","CLIFT_048.txt"
"hath","verb, 3rd sing","CLIFT_048.txt"
"hath","noun, singular or mass","CLIFT_050.txt"
"hath","verb, 3rd sing","CLIFT_050.txt"
"hath","verb, 3rd sing","CLIFT_050.txt"
"hath","verb, 3rd sing","CLIFT_050.txt"
"hath","verb, 3rd sing","CLIFT_050.txt"
"hath","noun, singular or mass","CLIFT_053.txt"
"hath","noun, singular or mass","CLIFT_053.txt"
"hath","verb, 3rd sing","CLIFT_055.txt"
"hath","verb, non-3rd sing","CLIFT_055.txt"
"hath","noun, singular or mass","CLIFT_055.txt"
"hath","verb, 3rd sing","CLIFT_057.txt"
"hath","noun, singular or mass","CLIFT_057.txt"
"hath","noun, singular or mass","CLIFT_058.txt"
"hath","verb, 3rd sing","CLIFT_060.txt"
"hath","noun, singular or mass","COWPERW_015.txt"
"hath","preposition or subordinating conjunction","COWPERW_048.txt"
"hath","noun, singular or mass","COWPERW_091.txt"
"hath","verb, 3rd sing","DODSLEY_010.txt"
"hath","noun, singular or mass","DODSLEY_052.txt"
"hath","noun, singular or mass","DODSLEY_055.txt"
"hath","verb, 3rd sing","DODSLEY_058.txt"
"hath","noun, singular or mass","DODSLEY_058.txt"
"hath","verb, 3rd sing","DODSLEY_062.txt"
"hath","noun, singular or mass","FLEMIN2_002.txt"
"hath","noun, singular or mass","FLEMIN2_014.txt"
"hath","verb, 3rd sing","FLEMIN2_066.txt"
"hath","verb, 3rd sing","FLEMIN2_066.txt"
"hath","noun, singular or mass","FLEMIN2_071.txt"
"hath","verb, 3rd sing","FLEMIN2_075.txt"
"hath","verb, 3rd sing","FLEMIN2_083.txt"
"hath","noun, singular or mass","FLEMIN2_083.txt"
"hath","verb, 3rd sing","FLEMIN2_084.txt"
"hath","verb, 3rd sing","FLEMIN2_085.txt"
"hath","verb, 3rd sing","FLEMIN2_087.txt"
"hath","noun, singular or mass","FLEMIN2_087.txt"
"hath","noun, singular or mass","FLEMIN2_087.txt"
"hath","verb, 3rd sing","FLEMIN2_087.txt"
"hath","noun, singular or mass","FLEMIN2_089.txt"
"hath","verb, 3rd sing","FLEMIN2_089.txt"
"hath","verb, 3rd sing","FLEMIN2_090.txt"
"hath","preposition or subordinating conjunction","FLEMIN2_091.txt"
"hath","verb, 3rd sing","FLEMIN2_091.txt"
"hath","verb, 3rd sing","FLEMIN2_097.txt"
"hath","verb, 3rd sing","FLEMIN2_101.txt"
"hath","verb, 3rd sing","FLEMIN2_103.txt"
"hath","verb, 3rd sing","FLEMIN2_104.txt"
"hath","noun, singular or mass","FLEMIN2_109.txt"
"hath","verb, 3rd sing","FLEMIN2_109.txt"
"hath","noun, singular or mass","FLEMIN2_110.txt"
"hath","noun, singular or mass","FLEMIN2_113.txt"
"hath","verb, 3rd sing","FLEMIN2_115.txt"
"hath","verb, 3rd sing","FLEMIN2_119.txt"
"hath","noun, singular or mass","FLEMIN2_119.txt"
"hath","noun, singular or mass","FLEMIN2_119.txt"
"hath","noun, singular or mass","FLEMIN2_120.txt"
"hath","verb, 3rd sing","FLEMIN2_122.txt"
"hath","noun, singular or mass","FLEMIN2_123.txt"
